id,release_id,status,title,artist_id,artist_name,label_name,label_id,format,genre,style,country,release_date,notes,master_id,video_url,company_name
1,12295801,Accepted,The World Of Ray Price,311678,Ray Price,Columbia,1866,8-Track Cartridge,"Folk, World, & Country",,US,1970,,,,
2,12295802,Accepted,The Burden of Isolation ,3720243,Filth (9),Not on Label (Filth (9) Self-Released),1495843,CD,Rock,Deathcore,US,2018,,1397110,https://www.youtube.com/watch?v=mRN-e_mIfQQ,
3,12295803,Accepted,Bassoon Concertos,6095671,Sebastian Fagerlund,BIS,51038,SACD,Classical,Contemporary,Sweden,2016,Made in the EU,,,BIS Records AB
4,12295805,Accepted,Ich Lag In Einer Nacht Und Schlief,3170804,Hans Peter Treichler,Gold Records,11489,Vinyl,Pop,,Switzerland,1980,,,,Gold Records
5,12295806,Accepted,Bien O Mal,85181,Julieta Venegas,Sony Music,25487,CD,Latin,,Argentina,2010,,1418114,https://www.youtube.com/watch?v=KTr9HMnAWNE,Lolein Music
6,12295807,Accepted,Kaleidoscopia,3130927,Beatnik (8),Eargasm Wreckords,500315,CD,Rock,Krautrock,Switzerland,2008,Mastered by Eroc,,,
Produced by Beatnik,,,,,,,,,,,,,,,,
16-page booklet whit lyrics and credits ,,,,,,,,,,,,,,,,
"P&C 2008 Eargasm Wreckords""",,https://www.youtube.com/watch?v=W4ZpVHFI_zM,Eargasm Wreckords,,,,,,,,,,,,,
7,12295808,Accepted,Κόκκινη Γραμμή,2444813,Βασίλης Τερλέγκας,Alpha Records (6),153245,CD,"Folk, World, & Country",,Greece,,,,https://www.youtube.com/watch?v=6Z3q5YEpnno,
8,12295809,Accepted,Frescobaldi Edition Vol 6 - Il Primo Libro Dei Madrigali a cinque voci,834330,Girolamo Frescobaldi,Brilliant Classics,89052,CD,Classical,Renaissance,Netherlands,2009,"Volume 6 of this path-breaking series, the first to record every extant work by Girolamo Frescobaldi, focuses on the secular madrigals. These works - he wrote one book, and evidently hoped to write more - are no less innovatory than the keyboard works that so impressed and influenced J.S. Bach. The texts feature the usual parade of lovelord shepherds and sighing maidens. Love unrequited is the keynote, but Frescobaldi's musical response to the expressive affekt is more charming than heart-rending: these are not the passionate and personal declarations of Monteverdi or Gesualdo.",,,
These madrigals were Frescobaldi's first published music, and therefore evidently music of which he felt justifiably proud. Their language is doubtless shaped by his education and service in the northern Italian cities of Ferrara and Mantua, which thanks to the patronage of families such as the famous Gonzagas was a cosmopolitan hotbed of artistic and creative endeavour. Frescobaldi met and became friends with Peter Philips, the noted English composer of madrigals who had settled in the Netherlands, and Philips's delicacy of imagination can be heard in this collection. The nineteen madrigals with which Frescobaldi introduced himself have an admirable clarity of formal design that gives each line its due weight in terms of duration and emotion, and a transparent counterpoint that favours delicacy over density as a stylistic means, homophonic and polyphonic sections being cleverly alternated. It is pleasing to see the respect that Frescobaldi pays to the texts: the words are set to graceful melodic phrases, and never obscured by excessive counterpoint, but interpreted literally with immediate attention to meaning.,,,,,,,,
",""",,,,,,,,,,,,,,,,
9,12295810,Accepted,Try A Little Kindness / One Step At A Time,3432907,Don Lauren,Apt Records,125142,Vinyl,Rock,Vocal,US,,A side: pop vocal,,,
"B side: bubblegum rock""",1237274,,,,,,,,,,,,,,,
10,12295811,Accepted,A Tribute to La Monte Young,6522519,Infinite Music,Fire Records,2051,CD,Electronic,Minimal,UK,2018, ,,https://www.youtube.com/watch?v=lzSC5wCCOVo,
11,12295812,Accepted,More (Gigi Dag In Loop),6376287,Lento Violento,Gigi D'Agostino Planet,1433042,File,Electronic,Lento Violento,,2018,"""The vocals of """"More (Gigi Dag In Loop)"""" are sampled from """"[url=https://www.discogs.com/master/51022]Hazy Shade Of Criminal[/url]"""" by Public Enemy.",,,
File size (track 1): 5,"94 MB""",,https://www.youtube.com/watch?v=4idxeR_sVYM,,,,,,,,,,,,,
