id,title,artist_name,label_name,genre,country,release_date,popularity,spotify_url,image_url
1,The World Of Ray Price,Ray Price,Columbia,"Folk, World, & Country",US,1970,,,
2,The Burden of Isolation ,Filth (9),Not on Label (Filth (9) Self-Released),Rock,US,2018,,,
3,Bassoon Concertos,Sebastian Fagerlund,BIS,Classical,Sweden,2016,,,
4,Ich Lag In Einer Nacht Und Schlief,Hans Peter Treichler,Gold Records,Pop,Switzerland,1980,,,
5,Bien O Mal,Julieta Venegas,Sony Music,Latin,Argentina,2010,,,
6,Kaleidoscopia,Beatnik (8),Eargasm Wreckords,Rock,Switzerland,2008,,,
Produced by Beatnik,,,,,,,,,
16-page booklet whit lyrics and credits ,,,,,,,,,
"P&C 2008 Eargasm Wreckords""",Eargasm Wreckords,,,,,,,,
7,Κόκκινη Γραμμή,Βασίλης Τερλέγκας,Alpha Records (6),"Folk, World, & Country",Greece,,,,
8,Frescobaldi Edition Vol 6 - Il Primo Libro Dei Madrigali a cinque voci,Girolamo Frescobaldi,Brilliant Classics,Classical,Netherlands,2009,,,
These madrigals were Frescobaldi's first published music, the noted English composer of madrigals who had settled in the Netherlands, and a transparent counterpoint that favours delicacy over density as a stylistic means, homophonic and polyphonic sections being cleverly alternated. It is pleasing to see the respect that Frescobaldi pays to the texts: the words are set to graceful melodic phrases,,,,,,
",""",,,,,,,,,
9,Try A Little Kindness / One Step At A Time,Don Lauren,Apt Records,Rock,US,,,,
"B side: bubblegum rock""",,,,,,,,,
10,A Tribute to La Monte Young,Infinite Music,Fire Records,Electronic,UK,2018,,,
11,More (Gigi Dag In Loop),Lento Violento,Gigi D'Agostino Planet,Electronic,,2018,,,
File size (track 1): 5,https://www.youtube.com/watch?v=4idxeR_sVYM,,,,,,,,
12, Special Album Spot Commercial - Hooker And Heat,Canned Heat,Liberty,Blues,US,1971,,,
13,Tuddalsspel I Oslo,Kjell Christian Midtgaard,ta:lik,"Folk, World, & Country",Norway,2018,,,
14,There's Nobody Else,Slim Jim (18),Laurie Records,Rock,US,1964,,,
15,The One and Only / Locke and Pine,Michael J. Birthelmer,Zanzibar Records Co. Inc,Pop,Canada,1980,,,
Recorded at Grant Avenue ,,,,,,,,,
C.A.P.A.C.,,,,,,,,,
"M A P L""",,,,,,,,,
16,Autumn Chill (Chill Out & Lounge Grooves),Various,City Lounge,Electronic,Europe,2015,,,
17,Καλημέρα Ήλιε,Μάνος Λοΐζος,Minos (2),"Folk, World, & Country",Greece,,,,
",""",,,,,,,,,
18,Artificial Paradise / Lonesome Train,J.J. Cale,Silvertone Records,Rock,France,1992,,,
",""",,,,,,,,,
19,Não Me Batas Mais,Leonel Nunes,Dualsom,"Folk, World, & Country",Portugal,1991,,,
20,Livin Large,Smooth Rapture,Independent Records Inc,Hip Hop,,2001,,,
21,Im Glanz Der Weihnachtskerzen,Berliner Motettenchor,Polydor,"Folk, World, & Country",Germany,,,,
22,Ambient Me,Lucky Beaches,Lucky Beaches,Electronic,"USA, Canada & Europe",2018,,,
23,Gift,Curve,Universal,Electronic,UK,2002,,,
℗ & © 2002 Universal International Music B.V. under exclusive license to Artful Records.,,,,,,,,,
Distributed by The Universal Music Organisation / Fulfill.,,,,,,,,,
Produced,,,,,,,,,
Made with Fostex e24 and Pro Tools.,,,,,,,,,
Original Transfers/Files by PK.,,,,,,,,,
Mastered by Kevin Metcallfe at Soundmasters London.,,,,,,,,,
A Blue Source Sleeve.,,,,,,,,,
North American Management,,,,,,,,,
www.bellmanagement.com,,,,,,,,,
Legal: Russel Roberts at Sheridans.,,,,,,,,,
Thanks to all our friends and collaborators.,,,,,,,,,
"Gift Lyric sheets available for download at www.curve.co.uk""",Universal International Music B.V.,,,,,,,,
24,The Burden of Isolation ,Filth (9),Not on Label (Filth (9) Self-Released),Rock,US,2018,,,
25,Fiesta De Verano,Terry Winter,Amor (4),Pop,Mexico,1979,,,
854,Day And Night With Les Chakachas,Chakachas,RCA Victor,Jazz,US,1966,,,
26,Это - Жириновский. Песни 2004,Владимир Жириновский,ЦА ЛДПР,Pop,Russia,2004,,,
"""""Песни в исполнении В. В. Жириновского и о нём""""",,,,,,,,,
",""",,,,,,,,,
27,Dance Floor,MC Ant,Raw Dog Records,Hip Hop,US,1989,,,
28,Great Classics By Great Composers,The Sinfonia Of London,Capitol Records,Classical,US,,,,
29,Trio Sonatas,Georg Philipp Telemann,cpo,Classical,Germany,2003,,,
30,Zamaane Ko Dikhana Hai,R. D. Burman,Music India,Pop,India,1981,,,
in - co-operation with Golden Tobacco,,,,,,,,,
"presents - Audio preview of """"Nasir Hussain's ZAMAANE KO DIKHANA HAI""""",,,,,,,,,
"Disc included in the cine-magazine of 1 81 - i. e January 1981""",Music India Ltd.,,,,,,,,
31,Ejecutivos Agresivos,Ejecutivos Agresivos,Hispavox,Pop,Spain,1994,,,
32,The Best Of Lynyrd Skynyrd,Lynyrd Skynyrd,MCA Records,Rock,US,1999,,,
33,Hard Times,Lacy J. Dalton,Columbia,Blues,US,1980,,,
34,Bad Mans Blunder,Big John May And Little People,Country Showcase America,"Folk, World, & Country",North America (inc Mexico),1974,,,
35,Barrio,Lou Perez And His Orchestra,Parnaso,Latin,US,1972,,,
36,Os Furos O Enfeitado,Leonel Nunes,Dualsom,"Folk, World, & Country",Portugal,1996,,,
37,Ich Fang' Für Euch Den Sonnenschein,Tony Marshall,Ariola,Pop,Austria,1972,,,
Young Music,,,,,,,,,
Ariola-Eurodisc GmbH.,,,,,,,,,
Die Happy-LP von Tony Marshall [url=https://www.discogs.com/Tony-Marshall-Sch%C3%B6ne-Maid/release/3883079] LP 85 729 IT [/url],,,,,,,,,
",""",,,,,,,,,
38,Hey Look At Her / The Kind Of Girl You Can't Foget,Terry Judge And The Barristers,SweDisc,Pop,Sweden,1964,,,
39,Used By You,Marcus Canty,Epic,Funk / Soul,US,2012,,,
40,Lucky Duck,The Jazz Time USA All Stars,Coral,Jazz,Norway,,,,
On sleeve:,,,,,,,,,
Side A - Recorded: 3rd April 1953 at New York,,,,,,,,,
"Side B - Recorded: 11th July 1952 at New York""",Proton (3),,,,,,,,
41,Mr. Sandman / Mambo Italiano,Eileen Scott,Gateway Top Tune,Pop,US,1954,,,
42,Blue & Sentimental,Ike Quebec,Blue Note,Jazz,US,,,,
"Center labels do not have """"BLUE NOTE RECORDS • A DIVISION OF LIBERTY RECORDS",,,,,,,,,
Catalog number is same as original mono pressing by Plastylite and Liberty Pressing confirmed by weight of vinyl (Liberty pressings are around 147g versus the Plastylite pressings being around 163g).,,,,,,,,,
Recorded on December 16,https://www.youtube.com/watch?v=Wwf9NnOQ03k,,,,,,,,
43,Let The Hammer Fall Vol. 75.,Various,Metal & Hard Rock Hammer World,Rock,Hungary,2009,,,
44,Georgeous,George Harrison,His Master's Choice,Rock,Europe,2014,,,
",""",,,,,,,,,
45,La Paz Está En El Corazón,Compañía Lírica Pópera,Universal,Latin,Spain,2005,,,
46,Stars And Stripes Forever / The Fairest Of The Fair,Sousa's Band,Victor,Brass & Military,US,1946,,,
"Made in U.S.A.""","RCA Manufacturing Co., Inc.",,,,,,,,
47,Later That Day,Sack Lunch (2),Cuidado Records,Rock,Sweden,2018,,,
48, Special Album Spot Commercial - Live In Europe,Canned Heat,Liberty,Blues,US,1971,,,
49,Aqua Placenta,Ursula's Cartridges,Business Casual,Electronic,US,2018,,,
2. ₱ℓa$ti¢ O¢€a₦ Wav€ A₱₱roa¢h€$,,,,,,,,,
3. ΞXXΘNJΛMS '89,,,,,,,,,
9. TRΛSH MΘVING ΘVΞR THΞ FΛCΞ ΘF THΞ WΛTΞRS,,,,,,,,,
"12. PΛL3 BLu3 DΘt.""",,,,,,,,,
50,Santo De Pau Feito,Leonel Nunes,Discotoni,"Folk, World, & Country",Portugal,2006,,,
51,Wandelen,De Tuinen,Beer On The Rug,Electronic,US,2016,,,
April,,,,,,,,,
52,Εδώ Είμ' Εγώ,Γιώργος Μουφλουζέλης,Lyra,"Folk, World, & Country",Greece,1998,,,
",""",,,,,,,,,
